[INFO] [542.404] - Start new burst interval
[INFO] [542.404] - IMU file name: /home/pi/microSWIFT/data/006_Imu_12Nov2020_11:12:00UTC_burst_12.dat
[INFO] [542.404] - IMU ON
[INFO] [593.710] - Num of samples: 186, Wanted samples: 2048
[INFO] [593.978] - Num of samples: 187, Wanted samples: 2048
[INFO] [594.253] - Num of samples: 188, Wanted samples: 2048
[INFO] [594.521] - Num of samples: 189, Wanted samples: 2048
[INFO] [594.798] - Num of samples: 190, Wanted samples: 2048
[INFO] [595.094] - Num of samples: 191, Wanted samples: 2048
[INFO] [595.374] - Num of samples: 192, Wanted samples: 2048
[INFO] [595.651] - Num of samples: 193, Wanted samples: 2048
[INFO] [595.929] - Num of samples: 194, Wanted samples: 2048
[INFO] [596.205] - Num of samples: 195, Wanted samples: 2048
[INFO] [596.474] - Num of samples: 196, Wanted samples: 2048
[INFO] [596.741] - Num of samples: 197, Wanted samples: 2048
[INFO] [597.017] - Num of samples: 198, Wanted samples: 2048
[INFO] [597.291] - Num of samples: 199, Wanted samples: 2048
[INFO] [597.579] - Num of samples: 200, Wanted samples: 2048
[INFO] [597.862] - Num of samples: 201, Wanted samples: 2048
[INFO] [598.132] - Num of samples: 202, Wanted samples: 2048
[INFO] [598.415] - Num of samples: 203, Wanted samples: 2048
[INFO] [598.684] - Num of samples: 204, Wanted samples: 2048
[INFO] [598.952] - Num of samples: 205, Wanted samples: 2048
[INFO] [599.220] - Num of samples: 206, Wanted samples: 2048
[INFO] [599.494] - Num of samples: 207, Wanted samples: 2048
[INFO] [599.762] - Num of samples: 208, Wanted samples: 2048
[INFO] [600.030] - Num of samples: 209, Wanted samples: 2048
[INFO] [600.318] - Num of samples: 210, Wanted samples: 2048
[INFO] [600.615] - Num of samples: 211, Wanted samples: 2048
[INFO] [600.884] - Num of samples: 212, Wanted samples: 2048
[INFO] [601.151] - Num of samples: 213, Wanted samples: 2048
[INFO] [601.420] - Num of samples: 214, Wanted samples: 2048
[INFO] [601.687] - Num of samples: 215, Wanted samples: 2048
[INFO] [601.964] - Num of samples: 216, Wanted samples: 2048
[INFO] [602.240] - Num of samples: 217, Wanted samples: 2048
[INFO] [602.522] - Num of samples: 218, Wanted samples: 2048
[INFO] [602.805] - Num of samples: 219, Wanted samples: 2048
[INFO] [603.094] - Num of samples: 220, Wanted samples: 2048
[INFO] [603.387] - Num of samples: 221, Wanted samples: 2048
[INFO] [603.664] - Num of samples: 222, Wanted samples: 2048
[INFO] [603.935] - Num of samples: 223, Wanted samples: 2048
[INFO] [604.210] - Num of samples: 224, Wanted samples: 2048
[INFO] [604.486] - Num of samples: 225, Wanted samples: 2048
[INFO] [604.765] - Num of samples: 226, Wanted samples: 2048
[INFO] [605.054] - Num of samples: 227, Wanted samples: 2048
[INFO] [605.359] - Num of samples: 228, Wanted samples: 2048
[INFO] [605.636] - Num of samples: 229, Wanted samples: 2048
[INFO] [605.913] - Num of samples: 230, Wanted samples: 2048
[INFO] [606.181] - Num of samples: 231, Wanted samples: 2048
[INFO] [606.450] - Num of samples: 232, Wanted samples: 2048
[INFO] [606.718] - Num of samples: 233, Wanted samples: 2048
[INFO] [606.993] - Num of samples: 234, Wanted samples: 2048
[INFO] [607.267] - Num of samples: 235, Wanted samples: 2048
[INFO] [607.535] - Num of samples: 236, Wanted samples: 2048
[INFO] [607.813] - Num of samples: 237, Wanted samples: 2048
[INFO] [608.081] - Num of samples: 238, Wanted samples: 2048
[INFO] [608.371] - Num of samples: 239, Wanted samples: 2048
[INFO] [608.639] - Num of samples: 240, Wanted samples: 2048
[INFO] [608.919] - Num of samples: 241, Wanted samples: 2048
[INFO] [609.215] - Num of samples: 242, Wanted samples: 2048
[INFO] [609.501] - Num of samples: 243, Wanted samples: 2048
[INFO] [609.798] - Num of samples: 244, Wanted samples: 2048
[INFO] [610.077] - Num of samples: 245, Wanted samples: 2048
[INFO] [610.385] - Num of samples: 246, Wanted samples: 2048
[INFO] [610.662] - Num of samples: 247, Wanted samples: 2048
[INFO] [610.940] - Num of samples: 248, Wanted samples: 2048
[INFO] [611.208] - Num of samples: 249, Wanted samples: 2048
[INFO] [611.482] - Num of samples: 250, Wanted samples: 2048
[INFO] [611.751] - Num of samples: 251, Wanted samples: 2048
[INFO] [612.027] - Num of samples: 252, Wanted samples: 2048
[INFO] [612.295] - Num of samples: 253, Wanted samples: 2048
[INFO] [612.564] - Num of samples: 254, Wanted samples: 2048
[INFO] [612.858] - Num of samples: 255, Wanted samples: 2048
[INFO] [613.134] - Num of samples: 256, Wanted samples: 2048
[INFO] [613.402] - Num of samples: 257, Wanted samples: 2048
[INFO] [613.671] - Num of samples: 258, Wanted samples: 2048
[INFO] [613.940] - Num of samples: 259, Wanted samples: 2048
[INFO] [614.208] - Num of samples: 260, Wanted samples: 2048
[INFO] [614.485] - Num of samples: 261, Wanted samples: 2048
[INFO] [614.772] - Num of samples: 262, Wanted samples: 2048
[INFO] [615.075] - Num of samples: 263, Wanted samples: 2048
[INFO] [615.374] - Num of samples: 264, Wanted samples: 2048
[INFO] [615.669] - Num of samples: 265, Wanted samples: 2048
[INFO] [615.950] - Num of samples: 266, Wanted samples: 2048
[INFO] [616.219] - Num of samples: 267, Wanted samples: 2048
[INFO] [616.489] - Num of samples: 268, Wanted samples: 2048
[INFO] [616.767] - Num of samples: 269, Wanted samples: 2048
[INFO] [617.035] - Num of samples: 270, Wanted samples: 2048
[INFO] [617.304] - Num of samples: 271, Wanted samples: 2048
[INFO] [617.577] - Num of samples: 272, Wanted samples: 2048
[INFO] [617.867] - Num of samples: 273, Wanted samples: 2048
[INFO] [618.137] - Num of samples: 274, Wanted samples: 2048
[INFO] [618.403] - Num of samples: 275, Wanted samples: 2048
[INFO] [618.669] - Num of samples: 276, Wanted samples: 2048
[INFO] [618.935] - Num of samples: 277, Wanted samples: 2048
[INFO] [619.216] - Num of samples: 278, Wanted samples: 2048
[INFO] [619.500] - Num of samples: 279, Wanted samples: 2048
[INFO] [619.766] - Num of samples: 280, Wanted samples: 2048
[INFO] [620.033] - Num of samples: 281, Wanted samples: 2048
[INFO] [620.298] - Num of samples: 282, Wanted samples: 2048
[INFO] [620.565] - Num of samples: 283, Wanted samples: 2048
[INFO] [620.830] - Num of samples: 284, Wanted samples: 2048
[INFO] [621.135] - Num of samples: 285, Wanted samples: 2048
[INFO] [621.408] - Num of samples: 286, Wanted samples: 2048
[INFO] [621.685] - Num of samples: 287, Wanted samples: 2048
[INFO] [621.961] - Num of samples: 288, Wanted samples: 2048
[INFO] [622.227] - Num of samples: 289, Wanted samples: 2048
[INFO] [622.493] - Num of samples: 290, Wanted samples: 2048
[INFO] [622.759] - Num of samples: 291, Wanted samples: 2048
[INFO] [623.032] - Num of samples: 292, Wanted samples: 2048
[INFO] [623.305] - Num of samples: 293, Wanted samples: 2048
[INFO] [623.572] - Num of samples: 294, Wanted samples: 2048
[INFO] [623.854] - Num of samples: 295, Wanted samples: 2048
[INFO] [624.119] - Num of samples: 296, Wanted samples: 2048
[INFO] [624.385] - Num of samples: 297, Wanted samples: 2048
[INFO] [624.664] - Num of samples: 298, Wanted samples: 2048
[INFO] [624.947] - Num of samples: 299, Wanted samples: 2048
[INFO] [625.214] - Num of samples: 300, Wanted samples: 2048
[INFO] [625.479] - Num of samples: 301, Wanted samples: 2048
[INFO] [625.755] - Num of samples: 302, Wanted samples: 2048
[INFO] [626.030] - Num of samples: 303, Wanted samples: 2048
[INFO] [626.297] - Num of samples: 304, Wanted samples: 2048
[INFO] [626.563] - Num of samples: 305, Wanted samples: 2048
[INFO] [626.854] - Num of samples: 306, Wanted samples: 2048
[INFO] [627.141] - Num of samples: 307, Wanted samples: 2048
[INFO] [627.429] - Num of samples: 308, Wanted samples: 2048
[INFO] [627.708] - Num of samples: 309, Wanted samples: 2048
[INFO] [627.981] - Num of samples: 310, Wanted samples: 2048
[INFO] [628.264] - Num of samples: 311, Wanted samples: 2048
[INFO] [628.531] - Num of samples: 312, Wanted samples: 2048
[INFO] [628.797] - Num of samples: 313, Wanted samples: 2048
[INFO] [629.069] - Num of samples: 314, Wanted samples: 2048
[INFO] [629.353] - Num of samples: 315, Wanted samples: 2048
[INFO] [629.628] - Num of samples: 316, Wanted samples: 2048
[INFO] [629.897] - Num of samples: 317, Wanted samples: 2048
[INFO] [630.163] - Num of samples: 318, Wanted samples: 2048
[INFO] [630.429] - Num of samples: 319, Wanted samples: 2048
[INFO] [630.701] - Num of samples: 320, Wanted samples: 2048
[INFO] [630.967] - Num of samples: 321, Wanted samples: 2048
[INFO] [631.234] - Num of samples: 322, Wanted samples: 2048
[INFO] [631.500] - Num of samples: 323, Wanted samples: 2048
[INFO] [631.771] - Num of samples: 324, Wanted samples: 2048
[INFO] [632.037] - Num of samples: 325, Wanted samples: 2048
[INFO] [632.312] - Num of samples: 326, Wanted samples: 2048
[INFO] [632.597] - Num of samples: 327, Wanted samples: 2048
[INFO] [632.895] - Num of samples: 328, Wanted samples: 2048
[INFO] [633.186] - Num of samples: 329, Wanted samples: 2048
[INFO] [633.465] - Num of samples: 330, Wanted samples: 2048
[INFO] [633.741] - Num of samples: 331, Wanted samples: 2048
[INFO] [634.039] - Num of samples: 332, Wanted samples: 2048
[INFO] [634.305] - Num of samples: 333, Wanted samples: 2048
[INFO] [634.571] - Num of samples: 334, Wanted samples: 2048
[INFO] [634.856] - Num of samples: 335, Wanted samples: 2048
[INFO] [635.131] - Num of samples: 336, Wanted samples: 2048
[INFO] [635.406] - Num of samples: 337, Wanted samples: 2048
[INFO] [635.672] - Num of samples: 338, Wanted samples: 2048
[INFO] [635.947] - Num of samples: 339, Wanted samples: 2048
[INFO] [636.213] - Num of samples: 340, Wanted samples: 2048
[INFO] [636.481] - Num of samples: 341, Wanted samples: 2048
[INFO] [636.746] - Num of samples: 342, Wanted samples: 2048
[INFO] [637.030] - Num of samples: 343, Wanted samples: 2048
[INFO] [637.305] - Num of samples: 344, Wanted samples: 2048
[INFO] [637.573] - Num of samples: 345, Wanted samples: 2048
[INFO] [637.856] - Num of samples: 346, Wanted samples: 2048
[INFO] [638.121] - Num of samples: 347, Wanted samples: 2048
[INFO] [638.387] - Num of samples: 348, Wanted samples: 2048
[INFO] [638.654] - Num of samples: 349, Wanted samples: 2048
[INFO] [638.928] - Num of samples: 350, Wanted samples: 2048
[INFO] [639.208] - Num of samples: 351, Wanted samples: 2048
[INFO] [639.495] - Num of samples: 352, Wanted samples: 2048
[INFO] [639.770] - Num of samples: 353, Wanted samples: 2048
[INFO] [640.036] - Num of samples: 354, Wanted samples: 2048
[INFO] [640.302] - Num of samples: 355, Wanted samples: 2048
[INFO] [640.569] - Num of samples: 356, Wanted samples: 2048
[INFO] [640.854] - Num of samples: 357, Wanted samples: 2048
[INFO] [641.137] - Num of samples: 358, Wanted samples: 2048
[INFO] [641.402] - Num of samples: 359, Wanted samples: 2048
[INFO] [641.673] - Num of samples: 360, Wanted samples: 2048
[INFO] [641.943] - Num of samples: 361, Wanted samples: 2048
[INFO] [642.216] - Num of samples: 362, Wanted samples: 2048
[INFO] [642.500] - Num of samples: 363, Wanted samples: 2048
[INFO] [642.773] - Num of samples: 364, Wanted samples: 2048
[INFO] [643.040] - Num of samples: 365, Wanted samples: 2048
[INFO] [643.314] - Num of samples: 366, Wanted samples: 2048
[INFO] [643.580] - Num of samples: 367, Wanted samples: 2048
[INFO] [643.866] - Num of samples: 368, Wanted samples: 2048
[INFO] [644.132] - Num of samples: 369, Wanted samples: 2048
[INFO] [644.398] - Num of samples: 370, Wanted samples: 2048
[INFO] [644.664] - Num of samples: 371, Wanted samples: 2048
[INFO] [644.937] - Num of samples: 372, Wanted samples: 2048
[INFO] [645.215] - Num of samples: 373, Wanted samples: 2048
[INFO] [645.503] - Num of samples: 374, Wanted samples: 2048
[INFO] [645.784] - Num of samples: 375, Wanted samples: 2048
[INFO] [646.070] - Num of samples: 376, Wanted samples: 2048
[INFO] [646.359] - Num of samples: 377, Wanted samples: 2048
[INFO] [646.625] - Num of samples: 378, Wanted samples: 2048
[INFO] [646.890] - Num of samples: 379, Wanted samples: 2048
[INFO] [647.156] - Num of samples: 380, Wanted samples: 2048
[INFO] [647.429] - Num of samples: 381, Wanted samples: 2048
[INFO] [647.695] - Num of samples: 382, Wanted samples: 2048
[INFO] [647.961] - Num of samples: 383, Wanted samples: 2048
[INFO] [648.227] - Num of samples: 384, Wanted samples: 2048
[INFO] [648.494] - Num of samples: 385, Wanted samples: 2048
[INFO] [648.759] - Num of samples: 386, Wanted samples: 2048
[INFO] [649.025] - Num of samples: 387, Wanted samples: 2048
[INFO] [649.300] - Num of samples: 388, Wanted samples: 2048
[INFO] [649.567] - Num of samples: 389, Wanted samples: 2048
[INFO] [649.837] - Num of samples: 390, Wanted samples: 2048
[INFO] [650.112] - Num of samples: 391, Wanted samples: 2048
[INFO] [650.379] - Num of samples: 392, Wanted samples: 2048
[INFO] [650.645] - Num of samples: 393, Wanted samples: 2048
[INFO] [650.925] - Num of samples: 394, Wanted samples: 2048
[INFO] [651.204] - Num of samples: 395, Wanted samples: 2048
[INFO] [651.485] - Num of samples: 396, Wanted samples: 2048
[INFO] [651.760] - Num of samples: 397, Wanted samples: 2048
[INFO] [652.026] - Num of samples: 398, Wanted samples: 2048
[INFO] [652.292] - Num of samples: 399, Wanted samples: 2048
[INFO] [652.558] - Num of samples: 400, Wanted samples: 2048
[INFO] [652.830] - Num of samples: 401, Wanted samples: 2048
[INFO] [653.119] - Num of samples: 402, Wanted samples: 2048
[INFO] [653.385] - Num of samples: 403, Wanted samples: 2048
[INFO] [653.651] - Num of samples: 404, Wanted samples: 2048
[INFO] [653.917] - Num of samples: 405, Wanted samples: 2048
[INFO] [654.183] - Num of samples: 406, Wanted samples: 2048
[INFO] [654.448] - Num of samples: 407, Wanted samples: 2048
[INFO] [654.722] - Num of samples: 408, Wanted samples: 2048
[INFO] [654.996] - Num of samples: 409, Wanted samples: 2048
[INFO] [655.262] - Num of samples: 410, Wanted samples: 2048
[INFO] [655.529] - Num of samples: 411, Wanted samples: 2048
[INFO] [655.795] - Num of samples: 412, Wanted samples: 2048
[INFO] [656.064] - Num of samples: 413, Wanted samples: 2048
[INFO] [656.353] - Num of samples: 414, Wanted samples: 2048
[INFO] [656.618] - Num of samples: 415, Wanted samples: 2048
[INFO] [656.912] - Num of samples: 416, Wanted samples: 2048
[INFO] [657.186] - Num of samples: 417, Wanted samples: 2048
[INFO] [657.456] - Num of samples: 418, Wanted samples: 2048
[INFO] [657.796] - Num of samples: 419, Wanted samples: 2048
[INFO] [658.076] - Num of samples: 420, Wanted samples: 2048
[INFO] [658.361] - Num of samples: 421, Wanted samples: 2048
[INFO] [658.636] - Num of samples: 422, Wanted samples: 2048
[INFO] [658.911] - Num of samples: 423, Wanted samples: 2048
[INFO] [659.184] - Num of samples: 424, Wanted samples: 2048
[INFO] [659.450] - Num of samples: 425, Wanted samples: 2048
[INFO] [659.716] - Num of samples: 426, Wanted samples: 2048
[INFO] [659.983] - Num of samples: 427, Wanted samples: 2048
[INFO] [660.249] - Num of samples: 428, Wanted samples: 2048
[INFO] [660.515] - Num of samples: 429, Wanted samples: 2048
[INFO] [660.790] - Num of samples: 430, Wanted samples: 2048
[INFO] [661.059] - Num of samples: 431, Wanted samples: 2048
[INFO] [661.325] - Num of samples: 432, Wanted samples: 2048
[INFO] [661.611] - Num of samples: 433, Wanted samples: 2048
[INFO] [661.876] - Num of samples: 434, Wanted samples: 2048
[INFO] [662.142] - Num of samples: 435, Wanted samples: 2048
[INFO] [662.416] - Num of samples: 436, Wanted samples: 2048
[INFO] [662.681] - Num of samples: 437, Wanted samples: 2048
[INFO] [662.955] - Num of samples: 438, Wanted samples: 2048
[INFO] [663.227] - Num of samples: 439, Wanted samples: 2048
[INFO] [663.505] - Num of samples: 440, Wanted samples: 2048
[INFO] [663.784] - Num of samples: 441, Wanted samples: 2048
[INFO] [664.061] - Num of samples: 442, Wanted samples: 2048
