[INFO] [474.290] - Start new burst interval
[INFO] [474.290] - IMU file name: /home/pi/microSWIFT/data/006_Imu_21Sep2020_13:00:00UTC_burst_12.dat
[INFO] [474.290] - IMU ON
[INFO] [539.114] - Num of samples: 232, Wanted samples: 2048
[INFO] [539.387] - Num of samples: 233, Wanted samples: 2048
[INFO] [539.665] - Num of samples: 234, Wanted samples: 2048
[INFO] [539.955] - Num of samples: 235, Wanted samples: 2048
[INFO] [540.225] - Num of samples: 236, Wanted samples: 2048
[INFO] [540.495] - Num of samples: 237, Wanted samples: 2048
[INFO] [540.767] - Num of samples: 238, Wanted samples: 2048
[INFO] [541.042] - Num of samples: 239, Wanted samples: 2048
[INFO] [541.325] - Num of samples: 240, Wanted samples: 2048
[INFO] [541.602] - Num of samples: 241, Wanted samples: 2048
[INFO] [541.895] - Num of samples: 242, Wanted samples: 2048
[INFO] [542.187] - Num of samples: 243, Wanted samples: 2048
[INFO] [542.490] - Num of samples: 244, Wanted samples: 2048
[INFO] [542.765] - Num of samples: 245, Wanted samples: 2048
[INFO] [543.048] - Num of samples: 246, Wanted samples: 2048
[INFO] [543.325] - Num of samples: 247, Wanted samples: 2048
[INFO] [543.589] - Num of samples: 248, Wanted samples: 2048
[INFO] [543.854] - Num of samples: 249, Wanted samples: 2048
[INFO] [544.126] - Num of samples: 250, Wanted samples: 2048
[INFO] [544.397] - Num of samples: 251, Wanted samples: 2048
[INFO] [544.662] - Num of samples: 252, Wanted samples: 2048
[INFO] [544.927] - Num of samples: 253, Wanted samples: 2048
[INFO] [545.226] - Num of samples: 254, Wanted samples: 2048
[INFO] [545.508] - Num of samples: 255, Wanted samples: 2048
[INFO] [545.788] - Num of samples: 256, Wanted samples: 2048
[INFO] [546.061] - Num of samples: 257, Wanted samples: 2048
[INFO] [546.340] - Num of samples: 258, Wanted samples: 2048
[INFO] [546.621] - Num of samples: 259, Wanted samples: 2048
[INFO] [546.905] - Num of samples: 260, Wanted samples: 2048
[INFO] [547.175] - Num of samples: 261, Wanted samples: 2048
[INFO] [547.460] - Num of samples: 262, Wanted samples: 2048
[INFO] [547.743] - Num of samples: 263, Wanted samples: 2048
[INFO] [548.030] - Num of samples: 264, Wanted samples: 2048
[INFO] [548.332] - Num of samples: 265, Wanted samples: 2048
